Year,JerseyNum,Name,Position,Height,Weight,Major,Class,HomeTownHighSchool
2021,14,Jake Killingsworth,G,6-5,210,Business Analytics,Gr.,"San Carlos, Calif. / Serra HS"
2021,20,Vuk Vulikic,G,6-5,205,Communication,So.,"Belgrade, Serbia / Sveti Nikola Secondary"
2021,22,Jace Roquemore,G,6-5,170,Communication,R-So.,"Henderson, Nev. / Foothill HS"
2021,23,Kaden Rasheed,G,6-1,185,International Business,Sr.,"Ladera Ranch, Calif. / Santa Margarita HS"
2021,24,John Diener,G,6-5,195,Global Health,R-Jr.,"Cedarburg, Wis. / Cedarburg HS"
2021,33,J'Raan  Brooks,F,6-9,215,Ethnic Studies,Jr.,"Seattle, Wash. / Garfield HS"
2021,35,Francis Nwaokorie,F,6-7,220,Public Health,Fr.,"Brooklyn Park, Minn. / Champlin Park HS"
2022,0,Roddie Anderson III,G,6-2,190,Education Sciences,Fr.,"Huntington Beach, Calif. / Fountain Valley HS"
2022,1,Jake Kosakowski,F,6-6,200,Communication,Sr.,"Las Vegas, Nev. / Whitney Young HS"
2022,2,Michael Pearson Jr.,G,5-9,160,Public Health,So.,"Tracy, Calif. / Modesto Christian HS"
2022,3,Justin DeGraaf,F,6-7,210,Math - Computer Science,So.,"Hudsonville, Mich. / Bosco Institute"
2022,4,Bryce Pope,G,6-3,185,Real Estate and Development,R-Jr.,"San Diego, Calif. / Torrey Pines HS"
2022,5,Cade Pendleton,F,6-10,210,International Business,Fr.,"Chattanooga, Tenn. / East Hamilton HS"
2022,10,Camden McCormick,G,6-3,190,International Business,Fr.,"San Diego, Calif. / Francis W. Parker School"
2022,15,Quin Patterson,G/F,6-7,205,,Fr.,"Snoqualmie, Wash. / Mount Si HS"
2022,20,Vuk Vulikic,G,6-5,205,Communication,Jr.,"Belgrade, Serbia / Sveti Nikola Secondary"
2022,22,Jace Roquemore,G,6-5,170,Communication,Sr.,"Henderson, Nev. / Foothill HS"
2022,25,Emmanuel Tshimanga,C,7-0,270,Sociology,R-Jr.,"Montreal, Quebec / Bella Vista Prep (Ariz.)"
2022,33,J'Raan  Brooks,F,6-9,215,Ethnic Studies,Sr.,"Seattle, Wash. / Garfield HS"
2022,35,Francis Nwaokorie,F,6-7,220,Public Health,So.,"Brooklyn Park, Minn. / Champlin Park HS"
2022,43,Fallou Cisse,F,6-7,216,Political Science,R-Fr.,"Thies, Senegal / Prolific Prep (Calif.)"
2023,0,Camden McCormick,G,6-3,190,International Business,So.,"San Diego, Calif. / Francis W. Parker School"
2023,2,Michael Pearson Jr.,G,5-9,160,Public Health,R-So.,"Tracy, Calif. / Modesto Christian HS"
2023,3,Justin DeGraaf,F,6-7,210,Math - Computer Science,Jr.,"Hudsonville, Mich. / Bosco Institute"
2023,4,Bryce Pope,G,6-3,185,Real Estate and Development,R-Sr.,"San Diego, Calif. / Torrey Pines HS"
2023,5,Cade Pendleton,F,6-10,210,International Business,R-Fr.,"Chattanooga, Tenn. / East Hamilton HS"
2023,10,Hayden Gray,G,6-4,190,International Business,Jr.,"San Diego, Calif. / Santa Fe Christian"
2023,11,Jasen Brooks,G,6-0,195,Business Economics,Fr.,"Cleveland, Tenn. / Cleveland HS"
2023,12,Aniwaniwa Tait-Jones,G/F,6-6,200,Communications,Jr.,"Wellington, New Zealand / St. Patrick's College"
2023,13,Tyler  McGhie,G/F,6-5,195,Communications,Jr.,"Denton, Texas / Guyer HS"
2023,14,Billy Haggerty,F,6-6,185,International Business,Fr.,"Lafayette, Calif. / De La Salle HS"
2023,15,Quin Patterson,G/F,6-7,205,,So.,"Snoqualmie, Wash. / Mount Si HS"
2023,20,Aidan Burke,G,6-3,190,Economics,Fr.,"Los Gatos, Calif. / Phillips Exeter Academy"
2023,22,Yaqub Mir,G,6-2,175,Data Science,Fr.,"Granite Bay, Calif. / Granite Bay HS"
2023,25,Emmanuel Tshimanga,C,7-0,270,Sociology,R-Sr.,"Montreal, Quebec / Bella Vista Prep (Ariz.)"
2023,33,J'Raan  Brooks,F,6-9,215,Ethnic Studies,R-Sr.,"Seattle, Wash. / Garfield HS"
2023,35,Francis Nwaokorie,F,6-7,220,Public Health,Jr.,"Brooklyn Park, Minn. / Champlin Park HS"
